,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
73,2022-01-04 16:20:55+00:00,https://twitter.com/arifahwaly/status/1478401063283658752,arifahwaly,Twitter for Android,"Ranau Sabah, Malaysia","Maliau Basin ni, ada beberapa telko ja ada line. DiGi saya langsung tiada line. Celcom ni ja ada. Itupun H+ ja. Load Twitter bolehlah. Sudahlah jam 11PM power cut off. Skg susah mau tidur sbb semua bunyi boleh dengar termasuk bunyi perut. Bergema bunyi perut 🤣.",1,0,0,0
74,2022-01-02 05:44:10+00:00,https://twitter.com/chekgu_lk/status/1477516042616274946,chekgu_lk,Twitter for Android,"Sabah, Malaysia","Better Celcom bagi diskaunlah bil fibre bulan ni untuk di Sabah. Dari kelnmarin pagi (1 Jan) tiada line sampai ke hari ni. Call careline, kata kelmarin ptg isu akn selesai. Agaknya petang hari lain kot selesai @Celcom @CelcomBlueCube",0,0,0,0
75,2021-12-25 15:27:22+00:00,https://twitter.com/soldaduMY/status/1474763707649388550,soldaduMY,Twitter for iPhone,"Johore, Malaysia","Kena tiada line @Celcom di sekitar Pt Sulaiman, Telok Kerang, Pontian? Apa mmg kerja nak menyusahkan rakyat je ke skng ni? Pls do something. Org kampung nk berhubung pun susah. Ingat bayar pakai daun ke? @MCMC_RASMI @McmcReact cer komen skit. Makin teruk kerajaan skng ni",0,0,0,0
76,2021-12-25 08:20:23+00:00,https://twitter.com/Chanatip08/status/1474656255998267393,Chanatip08,Twitter for Android,Shiganshina District,"@Celcom automatically switch to data roaming lagi. Please fix ASAP! 10 minit bertukar kepada mode data roaming, and then EDGE 1 minit, 4G 1 minit dan bertukar semula ke data roaming. Hello saya kat Malaysia je. Tiada record ke luar negara. Kenapa line celcom jadi mcm ni. FIX THIS https://t.co/ZIO2wTSbeQ",0,0,0,0
77,2021-12-25 08:17:43+00:00,https://twitter.com/burgerbroariel/status/1474655582053228546,burgerbroariel,Twitter for Android,,Line celcom kat teluk nipah pulau pangkor perak lansung tiada...tolong ambil maklum aduan saya ni...ramai pelancong terutama orang tempatan untuk jalani utusan perniagaan..@SKMM,0,0,0,0
78,2021-12-25 08:15:01+00:00,https://twitter.com/burgerbroariel/status/1474654904975167490,burgerbroariel,Twitter for Android,,Line celcom kat teluk nipah pulau pangkor perak lansung tiada...tolong ambil maklum aduan saya ni...ramai pelancong terutama orang tempatan untuk jalani utusan perniagaan,0,0,0,0
79,2021-12-21 09:08:44+00:00,https://twitter.com/FazzSunny/status/1473218869812547584,FazzSunny,Twitter for Android,"Austin, TX","@magmalaya Temerloh mula tiada Line internet Yes,Celcom, Umobile dah takda...Digi je buat masa sekarang ni yang saya nampak boleh guna...share hotspot antara satu sama lain...",43,19,0,2
80,2021-12-21 09:05:23+00:00,https://twitter.com/fredrckjggojgie/status/1473218027046924288,fredrckjggojgie,Twitter for iPhone,Land of Hornbill ,jalan rosak boleh jak buat on the spot. line celcom ada masalah kena tunggu 3 hari bekerja. eh mcm tiada kaitan.,0,0,0,0
81,2021-12-21 04:48:41+00:00,https://twitter.com/shalizamdyusof/status/1473153425814671360,shalizamdyusof,Twitter for iPhone,,"Celcom tiada line sudah di Pahang, nasib ada wifi.",0,0,0,1
82,2021-12-21 03:08:46+00:00,https://twitter.com/_nedxander/status/1473128281637412866,_nedxander,Twitter for iPhone,TRG - SGR 🇲🇾,@Celcom kenapa tiada line ye dari pagi tadi lagi 😞,0,0,0,0
83,2021-12-20 09:53:49+00:00,https://twitter.com/elaidiwaiae/status/1472867827476406272,elaidiwaiae,Twitter for Android,,@AutumnMay_05 Mcm tiada fungsi jg bh drg turun . Sedih oh gov tiada tindakan . syukurrr alhamdulillah Area kolej kmi okay jg cma tiada line celcom dn digi tida stabil . Bru smlm stabil . Dn ada pencawang tnb sna shah alam meletup bilng,0,0,0,0
84,2021-12-18 11:59:16+00:00,https://twitter.com/frdausrazak/status/1472174624297291779,frdausrazak,Twitter for iPhone,,"Allahuakbar, line celcom no servis sebab pencawang problem tambah dengan banjir teruk. Semoga tiada kemalangan kecemasan yang berlaku sebab tak dapat hubungi bomba.",0,0,0,0
85,2021-12-14 02:45:15+00:00,https://twitter.com/runningnury/status/1470585647555432452,runningnury,Twitter for iPhone,,"babi line celcom, maxis, digi, tunetalk, yes SEMUA TIADA. UNIFI JA JALAN.",1,0,0,1
